Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
2.425174250,0,1,1,1,0
2.425174500,0,1,1,0,0
2.425174750,0,1,1,1,0
2.425175000,0,1,1,1,1
2.425177000,0,1,1,0,0
2.425177250,0,1,1,1,0
2.425177500,0,1,1,0,0
2.425177750,0,1,1,1,0
2.425178000,0,1,1,0,0
2.425178250,0,1,1,1,0
2.425178500,0,1,1,0,0
2.425178750,0,1,1,1,0
2.425179000,0,1,1,0,0
2.425179250,0,1,1,1,0
2.425179500,0,1,1,0,0
2.425179750,0,1,1,1,0
2.425180000,0,1,1,0,0
2.425180250,0,1,1,1,0
2.425180500,0,1,1,0,0
2.425180750,0,1,1,1,0
2.425181000,0,1,1,1,1
2.425183000,0,1,1,0,0
2.425183250,0,1,1,1,0
2.425183500,0,1,1,0,0
2.425183750,0,1,1,1,0
2.425184000,0,1,1,0,0
2.425184250,0,1,1,1,0
2.425184500,0,1,1,0,0
2.425184750,0,1,1,1,0
2.425185000,0,1,1,0,0
2.425185250,0,1,1,1,0
2.425185500,0,1,1,0,0
2.425185750,0,1,1,1,0
2.425186000,0,1,1,0,0
2.425186250,0,1,1,1,0
2.425186500,0,1,1,0,0
2.425186750,0,1,1,1,0
2.425187000,0,1,1,1,1
2.425189000,0,1,1,0,0
2.425189250,0,1,1,1,0
2.425189500,0,1,1,0,0
2.425189750,0,1,1,1,0
2.425190000,0,1,1,0,0
2.425190250,0,1,1,1,0
2.425190500,0,1,1,0,0
2.425190750,0,1,1,1,0
2.425191000,0,1,1,0,0
2.425191250,0,1,1,1,0
2.425191500,0,1,1,0,0
2.425191750,0,1,1,1,0
2.425192000,0,1,1,0,0
2.425192250,0,1,1,1,0
2.425192500,0,1,1,0,0
2.425192750,0,1,1,1,0
2.425193000,0,1,1,1,1
2.425195000,0,1,1,0,0
2.425195250,0,1,1,1,0
2.425195500,0,1,1,0,0
2.425195750,0,1,1,1,0
2.425196000,0,1,1,0,0
2.425196250,0,1,1,1,0
2.425196500,0,1,1,0,0
2.425196750,0,1,1,1,0
2.425197000,0,1,1,0,0
2.425197250,0,1,1,1,0
2.425197500,0,1,1,0,0
2.425197750,0,1,1,1,0
2.425198000,0,1,1,0,0
2.425198250,0,1,1,1,0
2.425198500,0,1,1,0,0
2.425198750,0,1,1,1,0
2.425199000,0,1,1,1,1
2.425201000,0,1,1,0,0
2.425201250,0,1,1,1,0
2.425201500,0,1,1,0,0
2.425201750,0,1,1,1,0
2.425202000,0,1,1,0,0
2.425202250,0,1,1,1,0
2.425202500,0,1,1,0,0
2.425202750,0,1,1,1,0
2.425203000,0,1,1,0,0
2.425203250,0,1,1,1,0
2.425203500,0,1,1,0,0
2.425203750,0,1,1,1,0
2.425204000,0,1,1,0,0
2.425204250,0,1,1,1,0
2.425204500,0,1,1,0,0
2.425204750,0,1,1,1,0
2.425205000,0,1,1,1,1
2.425207000,0,1,1,0,0
2.425207250,0,1,1,1,0
2.425207500,0,1,1,0,0
2.425207750,0,1,1,1,0
2.425208000,0,1,1,0,0
2.425208250,0,1,1,1,0
2.425208500,0,1,1,0,0
2.425208750,0,1,1,1,0
2.425209000,0,1,1,0,0
2.425209250,0,1,1,1,0
2.425209500,0,1,1,0,0
2.425209750,0,1,1,1,0
2.425210000,0,1,1,0,0
2.425210250,0,1,1,1,0
2.425210500,0,1,1,0,0
2.425210750,0,1,1,1,0
2.425211000,0,1,1,1,1
2.425212750,0,1,1,0,1
2.425213000,0,1,1,0,0
2.425216750,0,1,1,1,0
2.425217000,0,1,1,1,1
2.425218750,0,1,1,0,1
2.425219000,0,1,1,0,0
2.425222750,0,1,1,1,0
2.425223000,0,1,1,1,1
2.425224750,0,1,1,0,1
2.425225000,0,1,1,1,0
2.425225250,0,1,1,0,0
2.425225500,0,1,1,1,0
2.425225750,0,1,1,0,0
2.425226000,0,1,1,1,0
2.425226250,0,1,1,0,0
2.425226500,0,1,1,1,0
2.425226750,0,1,1,0,0
2.425227000,0,1,1,1,0
2.425227250,0,1,1,0,0
2.425227500,0,1,1,1,0
2.425227750,0,1,1,0,0
2.425228000,0,1,1,1,0
2.425228250,0,1,1,0,0
2.425228500,0,1,1,1,0
2.425228750,0,1,1,1,1
2.425230750,0,1,1,0,0
2.425231000,0,1,1,1,0
2.425231250,0,1,1,0,0
2.425231500,0,1,1,1,0
2.425231750,0,1,1,0,0
2.425232000,0,1,1,1,0
2.425232250,0,1,1,0,0
2.425232500,0,1,1,1,0
2.425232750,0,1,1,0,0
2.425233000,0,1,1,1,0
2.425233250,0,1,1,0,0
2.425233500,0,1,1,1,0
2.425233750,0,1,1,0,0
2.425234000,0,1,1,1,0
2.425234250,0,1,1,0,0
2.425234500,0,1,1,1,0
2.425234750,0,1,1,1,1
2.425236750,0,1,1,0,0
2.425237000,0,1,1,1,0
2.425237250,0,1,1,0,0
2.425237500,0,1,1,1,0
2.425237750,0,1,1,0,0
2.425238000,0,1,1,1,0
2.425238250,0,1,1,0,0
2.425238500,0,1,1,1,0
2.425238750,0,1,1,0,0
2.425239000,0,1,1,1,0
2.425239250,0,1,1,0,0
2.425239500,0,1,1,1,0
2.425239750,0,1,1,0,0
2.425240000,0,1,1,1,0
2.425240250,0,1,1,0,0
2.425240500,0,1,1,1,0
2.425240750,0,1,1,1,1
2.425242750,0,1,1,0,0
2.425243000,0,1,1,1,0
2.425243250,0,1,1,0,0
2.425243500,0,1,1,1,0
2.425243750,0,1,1,0,0
2.425244000,0,1,1,1,0
2.425244250,0,1,1,0,0
2.425244500,0,1,1,1,0
2.425244750,0,1,1,0,0
2.425245000,0,1,1,1,0
2.425245250,0,1,1,0,0
2.425245500,0,1,1,1,0
2.425245750,0,1,1,0,0
2.425246000,0,1,1,1,0
2.425246250,0,1,1,0,0
2.425246500,0,1,1,1,0
2.425246750,0,1,1,1,1
2.425248750,0,1,1,0,0
2.425249000,0,1,1,1,0
2.425249250,0,1,1,0,0
2.425249500,0,1,1,1,0
2.425249750,0,1,1,0,0
2.425250000,0,1,1,1,0
2.425250250,0,1,1,0,0
2.425250500,0,1,1,1,0
2.425250750,0,1,1,0,0
2.425251000,0,1,1,1,0
2.425251250,0,1,1,0,0
2.425251500,0,1,1,1,0
2.425251750,0,1,1,0,0
2.425252000,0,1,1,1,0
2.425252250,0,1,1,0,0
2.425252500,0,1,1,1,0
2.425252750,0,1,1,1,1
2.425254750,0,1,1,0,0
2.425255000,0,1,1,1,0
2.425255250,0,1,1,0,0
2.425255500,0,1,1,1,0
2.425255750,0,1,1,0,0
2.425256000,0,1,1,1,0
2.425256250,0,1,1,0,0
2.425256500,0,1,1,1,0
2.425256750,0,1,1,0,0
2.425257000,0,1,1,1,0
2.425257250,0,1,1,0,0
2.425257500,0,1,1,1,0
2.425257750,0,1,1,0,0
2.425258000,0,1,1,1,0
2.425258250,0,1,1,0,0
2.425258500,0,1,1,1,0
2.425258750,0,1,1,1,1
2.425260750,0,1,1,0,0
2.425261000,0,1,1,1,0
2.425261250,0,1,1,0,0
2.425261500,0,1,1,1,0
2.425261750,0,1,1,0,0
2.425262000,0,1,1,1,0
2.425262250,0,1,1,0,0
2.425262500,0,1,1,1,0
2.425262750,0,1,1,0,0
2.425263000,0,1,1,1,0
2.425263250,0,1,1,0,0
2.425263500,0,1,1,1,0
2.425263750,0,1,1,0,0
2.425264000,0,1,1,1,0
2.425264250,0,1,1,0,0
2.425264500,0,1,1,1,0
2.425264750,0,1,1,1,1
2.425266750,0,1,1,0,0
2.425267000,0,1,1,1,0
2.425267250,0,1,1,0,0
2.425267500,0,1,1,1,0
2.425267750,0,1,1,0,0
2.425268000,0,1,1,1,0
2.425268250,0,1,1,0,0
2.425268500,0,1,1,1,0
2.425268750,0,1,1,0,0
2.425269000,0,1,1,1,0
2.425269250,0,1,1,0,0
2.425269500,0,1,1,1,0
2.425269750,0,1,1,0,0
2.425270000,0,1,1,1,0
2.425270250,0,1,1,0,0
2.425270500,0,1,1,1,0
2.425270750,0,1,1,1,1
2.425272750,0,1,1,0,0
2.425273000,0,1,1,1,0
2.425273250,0,1,1,0,0
2.425273500,0,1,1,1,0
2.425273750,0,1,1,0,0
2.425274000,0,1,1,1,0
2.425274250,0,1,1,0,0
2.425274500,0,1,1,1,0
2.425274750,0,1,1,0,0
2.425275000,0,1,1,1,0
2.425275250,0,1,1,0,0
2.425275500,0,1,1,1,0
2.425275750,0,1,1,0,0
2.425276000,0,1,1,1,0
2.425276250,0,1,1,0,0
2.425276500,0,1,1,1,0
2.425276750,0,1,1,1,1
2.425278750,0,1,1,0,0
2.425279000,0,1,1,1,0
2.425279250,0,1,1,0,0
2.425279500,0,1,1,1,0
2.425279750,0,1,1,0,0
2.425280000,0,1,1,1,0
2.425280250,0,1,1,0,0
2.425280500,0,1,1,1,0
2.425280750,0,1,1,0,0
2.425281000,0,1,1,1,0
2.425281250,0,1,1,0,0
2.425281500,0,1,1,1,0
2.425281750,0,1,1,0,0
2.425282000,0,1,1,1,0
2.425282250,0,1,1,0,0
2.425282500,0,1,1,1,0
2.425282750,0,1,1,1,1
2.425284750,0,1,1,0,0
2.425285000,0,1,1,1,0
2.425285250,0,1,1,0,0
2.425285500,0,1,1,1,0
2.425285750,0,1,1,0,0
2.425286000,0,1,1,1,0
2.425286250,0,1,1,0,0
2.425286500,0,1,1,1,0
2.425286750,0,1,1,0,0
2.425287000,0,1,1,1,0
2.425287250,0,1,1,0,0
2.425287500,0,1,1,1,0
2.425287750,0,1,1,0,0
2.425288000,0,1,1,1,0
2.425288250,0,1,1,0,0
2.425288500,0,1,1,1,0
2.425288750,0,1,1,1,1
2.425290750,0,1,1,0,0
2.425291000,0,1,1,1,0
2.425291250,0,1,1,0,0
2.425291500,0,1,1,1,0
2.425291750,0,1,1,0,0
2.425292000,0,1,1,1,0
2.425292250,0,1,1,0,0
2.425292500,0,1,1,1,0
2.425292750,0,1,1,0,0
2.425293000,0,1,1,1,0
2.425293250,0,1,1,0,0
2.425293500,0,1,1,1,0
2.425293750,0,1,1,0,0
2.425294000,0,1,1,1,0
2.425294250,0,1,1,0,0
2.425294500,0,1,1,1,0
2.425294750,0,1,1,1,1
2.425296500,0,1,1,0,1
2.425296750,0,1,1,0,0
2.425300500,0,1,1,1,0
2.425300750,0,1,1,1,1
2.425302500,0,1,1,0,1
2.425302750,0,1,1,0,0
2.425306500,0,1,1,1,0
2.425306750,0,1,1,1,1
2.425308500,0,1,1,0,0
2.425308750,0,1,1,1,0
2.425309000,0,1,1,0,0
2.425309250,0,1,1,1,0
2.425309500,0,1,1,0,0
2.425309750,0,1,1,1,0
2.425310000,0,1,1,0,0
2.425310250,0,1,1,1,0
2.425310500,0,1,1,0,0
2.425310750,0,1,1,1,0
2.425311000,0,1,1,0,0
2.425311250,0,1,1,1,0
2.425311500,0,1,1,0,0
2.425311750,0,1,1,1,0
2.425312000,0,1,1,0,0
2.425312250,0,1,1,1,0
2.425312500,0,1,1,1,1
2.425314500,0,1,1,0,0
2.425314750,0,1,1,1,0
2.425315000,0,1,1,0,0
2.425315250,0,1,1,1,0
2.425315500,0,1,1,0,0
2.425315750,0,1,1,1,0
2.425316000,0,1,1,0,0
2.425316250,0,1,1,1,0
2.425316500,0,1,1,0,0
2.425316750,0,1,1,1,0
2.425317000,0,1,1,0,0
2.425317250,0,1,1,1,0
2.425317500,0,1,1,0,0
2.425317750,0,1,1,1,0
2.425318000,0,1,1,0,0
2.425318250,0,1,1,1,0
2.425318500,0,1,1,1,1
2.425320500,0,1,1,0,0
2.425320750,0,1,1,1,0
2.425321000,0,1,1,0,0
2.425321250,0,1,1,1,0
2.425321500,0,1,1,0,0
2.425321750,0,1,1,1,0
2.425322000,0,1,1,0,0
2.425322250,0,1,1,1,0
2.425322500,0,1,1,0,0
2.425322750,0,1,1,1,0
2.425323000,0,1,1,0,0
2.425323250,0,1,1,1,0
2.425323500,0,1,1,0,0
2.425323750,0,1,1,1,0
2.425324000,0,1,1,0,0
2.425324250,0,1,1,1,0
2.425324500,0,1,1,1,1
